Time	A470	A350	A340	A330	A320	A310	A300	
0.0822875	0.0148565	0.160059	0.242096	0.371675	0.589352	0.94209	1.63756
0.0832625	0.0149647	0.159967	0.241894	0.371285	0.588672	0.940568	1.63595
0.0842625	0.0149509	0.159937	0.241779	0.370943	0.587704	0.939341	1.63411
0.0852625	0.0148985	0.159805	0.241569	0.370419	0.586754	0.937774	1.63219
0.0862625	0.01487	0.15971	0.24139	0.369974	0.585831	0.936046	1.63049
0.0872875	0.0147297	0.159612	0.241117	0.369471	0.584793	0.934663	1.62859
0.0883	0.0148615	0.159757	0.240892	0.368932	0.583862	0.933165	1.62752
0.0893375	0.0148909	0.159517	0.240674	0.368567	0.582968	0.931512	1.62532
0.0903625	0.0148668	0.159445	0.240534	0.367956	0.582007	0.929989	1.6236
0.0914125	0.0147559	0.159361	0.240225	0.367443	0.581117	0.928452	1.62148
0.0924625	0.0146721	0.159201	0.239945	0.36686	0.580229	0.926989	1.61916
0.0935125	0.0147334	0.159138	0.2399	0.366408	0.579299	0.925305	1.61775
0.094575	0.0144968	0.158959	0.239569	0.365993	0.578194	0.923729	1.61584
0.09565	0.0146363	0.158967	0.239384	0.365449	0.577276	0.92229	1.61392
0.096725	0.0146081	0.158886	0.239037	0.364985	0.576336	0.920756	1.61161
0.0978125	0.0145804	0.158726	0.238898	0.364519	0.575348	0.919078	1.60979
0.0989125	0.0145248	0.158549	0.238601	0.363932	0.574282	0.917506	1.60802
0.100013	0.0144783	0.158456	0.238367	0.363373	0.573397	0.916142	1.60593
0.101125	0.0144208	0.158453	0.238202	0.362861	0.57245	0.914468	1.60397
0.102238	0.0145246	0.158207	0.237985	0.362444	0.57143	0.912772	1.60206
0.103363	0.0142854	0.158197	0.237747	0.361891	0.570391	0.911179	1.59992
0.1045	0.0144199	0.158112	0.2375	0.361372	0.569454	0.909591	1.59819
0.105637	0.0144042	0.158114	0.23728	0.360882	0.56852	0.908038	1.59601
0.106788	0.0144843	0.157847	0.237008	0.36033	0.567407	0.906297	1.59385
0.107937	0.014264	0.157759	0.236684	0.359771	0.566405	0.904758	1.59162
0.1091	0.0144599	0.157739	0.236512	0.359105	0.565498	0.903302	1.58978
0.110275	0.0141427	0.157617	0.236246	0.358754	0.564538	0.901595	1.58768
0.11145	0.0142725	0.157419	0.236114	0.358321	0.563518	0.899932	1.58594
0.11265	0.0141258	0.157464	0.235822	0.357637	0.56241	0.8985	1.58367
0.113838	0.0143361	0.157324	0.235469	0.357275	0.561448	0.89668	1.58155
0.11505	0.0141347	0.157043	0.235309	0.356685	0.560402	0.89495	1.57936
0.116263	0.0142237	0.157037	0.23498	0.35605	0.559387	0.893454	1.57725
0.117475	0.014237	0.15695	0.234696	0.355549	0.558486	0.891767	1.57525
0.118712	0.0141208	0.156728	0.234657	0.355115	0.557445	0.889969	1.57342
0.11995	0.0140639	0.156655	0.234358	0.354576	0.556363	0.888231	1.57147
0.1212	0.0141536	0.156656	0.234028	0.354098	0.555358	0.886776	1.56952
0.12245	0.0140254	0.15639	0.233789	0.353634	0.554288	0.884937	1.56735
0.123713	0.0140238	0.156297	0.233545	0.353074	0.553266	0.883238	1.56514
0.124987	0.0141536	0.156172	0.233237	0.352495	0.552198	0.881687	1.5634
0.126275	0.0139232	0.156191	0.233001	0.35183	0.551388	0.880189	1.56115
0.127562	0.0139765	0.155909	0.232857	0.351386	0.550233	0.878475	1.55927
0.128863	0.0139203	0.155935	0.232534	0.350905	0.549232	0.876788	1.55717
0.130175	0.0139713	0.155785	0.232273	0.350375	0.548321	0.875014	1.55472
0.131488	0.0138519	0.155617	0.231949	0.349873	0.547291	0.873549	1.55306
0.132825	0.0139967	0.155484	0.231829	0.3493	0.546244	0.871765	1.55094
0.13415	0.0138823	0.155341	0.231423	0.34868	0.545341	0.870419	1.54884
0.1355	0.0138245	0.155236	0.231254	0.348187	0.544271	0.868485	1.54689
0.136863	0.0137972	0.155086	0.231043	0.347754	0.543268	0.866793	1.54448
0.138225	0.0139295	0.155135	0.230758	0.347194	0.54229	0.86525	1.54256
0.1396	0.0137934	0.154735	0.230506	0.346663	0.541249	0.863352	1.54065
0.140975	0.013777	0.154651	0.230293	0.34629	0.540173	0.861796	1.53853
0.142375	0.0138628	0.154636	0.23003	0.345537	0.539268	0.860345	1.53625
0.143775	0.0136888	0.154554	0.229817	0.345045	0.538362	0.858443	1.53419
0.145187	0.0136906	0.154404	0.229596	0.344622	0.537148	0.856919	1.53228
0.146612	0.0136917	0.154342	0.229309	0.344039	0.536263	0.855286	1.53028
