Time	S1	S2	S3	
0.257062	0.00842182	0.0981217	0.346299	
0.259263	0.00843433	0.0981861	0.34576	
0.261475	0.00842533	0.0979954	0.345345	
0.263712	0.00831706	0.097904	0.344809	
0.26595	0.00838994	0.0978285	0.344398	
0.268212	0.00837904	0.0979052	0.343865	
0.270487	0.00830268	0.0977168	0.343488	
0.272775	0.00823978	0.0976885	0.342999	
0.275088	0.00825954	0.0976533	0.34251	
0.2774	0.00820775	0.0975913	0.342088	
0.279738	0.00822675	0.0974633	0.341633	
0.2821	0.00824242	0.0974184	0.341177	
0.284475	0.00823912	0.0973789	0.340696	
0.286862	0.00823181	0.0972921	0.340394	
0.289263	0.00813347	0.0972352	0.339873	
0.291687	0.00817984	0.0971479	0.339439	
0.294125	0.0081403	0.0971707	0.339038	
0.296575	0.00813252	0.0970341	0.338605	
0.29905	0.00813387	0.0969909	0.338164	
0.301538	0.00819272	0.0969311	0.33774	
0.304038	0.0081024	0.0969108	0.337402	
0.306563	0.00808521	0.0968682	0.33698	
0.3091	0.00806588	0.0967499	0.336553	
0.311662	0.00804541	0.0967263	0.336236	
0.314238	0.00803154	0.0966733	0.335813	
0.316837	0.00810512	0.0965644	0.335464	
0.31945	0.00807321	0.0965697	0.335001	
0.322075	0.00800146	0.096467	0.334736	
0.324725	0.00801912	0.096481	0.334354	
0.327388	0.00802962	0.0964448	0.333895	
0.330075	0.00798042	0.0963241	0.333637	
0.332788	0.00794733	0.0962639	0.333197	
0.3355	0.00799162	0.0962377	0.332894	
0.33825	0.00789297	0.0961516	0.332521	
0.341013	0.0079246	0.096192	0.332183	
0.343787	0.00797625	0.0961555	0.331825	
0.346588	0.00788219	0.0960612	0.331582	
0.3494	0.00788364	0.0961246	0.331229	
0.352237	0.00795996	0.0960159	0.330933	
0.3551	0.00788996	0.0958569	0.330587	
0.357975	0.00791393	0.0959048	0.330256	
0.360875	0.00794053	0.0959024	0.330034	
0.363788	0.00789695	0.0957943	0.329688	
0.366725	0.00788045	0.0958238	0.329381	
0.369687	0.00790934	0.0957329	0.329109	
0.372663	0.00785962	0.0956182	0.328786	
0.375663	0.00785043	0.0956992	0.328476	
0.378688	0.00787159	0.0956137	0.328192	
0.381725	0.00786537	0.095553	0.327918	
0.384787	0.00788058	0.0955384	0.32765	
0.387875	0.00777305	0.0954936	0.327409	
0.390975	0.00778962	0.0954329	0.327025	
0.3941	0.00781711	0.0954285	0.32682	
0.39725	0.00781379	0.0953777	0.326525	
0.400412	0.007812	0.0953402	0.326189	
0.403612	0.00779199	0.0953291	0.326018	
0.406825	0.00774024	0.0953489	0.325773	
0.410062	0.00775789	0.0952887	0.325481	
0.413312	0.00775339	0.0952686	0.325242	
0.4166	0.00776427	0.0952523	0.324977	
0.4199	0.0076711	0.0951848	0.324821	
0.423225	0.00776567	0.0951368	0.324499	
0.426575	0.00775929	0.0951909	0.324266	
0.42995	0.00772896	0.0951121	0.324124	
0.43335	0.0077741	0.0950795	0.323837	
0.436763	0.00770804	0.095042	0.323678	
0.440212	0.00767594	0.0950017	0.323462	
0.443675	0.00767144	0.095005	0.323199	
0.447163	0.00768285	0.0949434	0.323018	
0.450687	0.00774437	0.0949843	0.322742	
0.454225	0.00764356	0.0949081	0.322598	
0.457788	0.0076271	0.0949489	0.322396	
0.461375	0.00764293	0.0949053	0.322183	
0.464987	0.00769183	0.0948851	0.321932	
0.468625	0.00772698	0.0948989	0.321809	
0.472288	0.00761282	0.0948569	0.321612	
0.475987	0.00763837	0.0948677	0.321389	
0.4797	0.00762296	0.0947862	0.321203	
0.483438	0.00765555	0.0948015	0.321027	
0.487213	0.00766011	0.0948074	0.32085	
0.491	0.00767544	0.094848	0.320661	
0.494825	0.00761904	0.09477	0.320487	
0.498663	0.00761738	0.0947142	0.320263	
0.502537	0.00764812	0.0947206	0.320131	
0.506437	0.00765682	0.0947035	0.319935	
0.510363	0.00762518	0.094729	0.319848	
0.514313	0.00761622	0.0946861	0.319647	
0.5183	0.00762452	0.0946308	0.319511	
0.5223	0.00763366	0.0946255	0.319383	
0.526338	0.0076629	0.0946308	0.319173	
0.530412	0.00765882	0.0946191	0.319028	
0.5345	0.00769086	0.0945808	0.318853	
0.538625	0.00762307	0.0945332	0.318774	
0.542775	0.00766116	0.0945528	0.318587	
0.54695	0.00761432	0.094551	0.318467	
0.55115	0.00769873	0.0945296	0.318274	
0.555387	0.00761793	0.0945062	0.318142	
0.559663	0.00766053	0.0945067	0.317984	
0.56395	0.00760676	0.0944847	0.317808	
0.568275	0.00770643	0.0944648	0.31767	
0.572637	0.00762673	0.0944273	0.317577	
0.577012	0.00767336	0.0944709	0.317462	
0.581438	0.00762641	0.0944918	0.317252	
0.585875	0.00769365	0.0944539	0.317153	
0.59035	0.00770039	0.0943983	0.317021	
0.594863	0.00766235	0.0944265	0.316912	
0.5994	0.00763798	0.09443	0.31669	
0.603975	0.00764894	0.0944001	0.316641	
0.608575	0.00765774	0.094411	0.316479	
0.613213	0.00763342	0.0944288	0.31634	
0.617875	0.00761674	0.0944289	0.316286	
0.622575	0.00763123	0.0944291	0.316173	
0.627312	0.00763289	0.0943531	0.316013	
0.632075	0.00768285	0.094404	0.315869	
0.636875	0.00763766	0.0943883	0.315793	
0.6417	0.00766209	0.0944052	0.315646	
0.646563	0.00760165	0.0943911	0.315482	
0.651462	0.00764965	0.0944013	0.315385	
0.656388	0.00763076	0.094455	0.315363	
0.661363	0.00763192	0.0943826	0.315259	
0.666363	0.00768335	0.0943921	0.315052	
0.6714	0.00764367	0.0944242	0.314971	
0.676462	0.00766332	0.0944326	0.314943	
0.681562	0.00764422	0.0944006	0.314754	
0.686713	0.00771093	0.094357	0.314682	
0.691887	0.00771602	0.0944109	0.314547	
0.6971	0.0076922	0.094393	0.314467	
0.70235	0.00772145	0.0943657	0.314315	
0.707625	0.00770959	0.0943653	0.314178	
0.71295	0.00769702	0.0943606	0.314121	
0.718313	0.00769526	0.0943553	0.31401	
0.7237	0.00775049	0.0943659	0.313878	
0.729137	0.00770772	0.0943549	0.31377	
0.7346	0.0077258	0.0943364	0.313645	
0.740112	0.00774935	0.0942966	0.313503	
0.745663	0.0077434	0.0943465	0.313439	
0.751238	0.00774717	0.0943335	0.313341	
0.756863	0.00776279	0.0943139	0.313214	
0.762525	0.00776416	0.0943251	0.313065	
0.768225	0.00776735	0.0942895	0.312904	
0.773975	0.00779081	0.0943338	0.312877	
0.77975	0.00775715	0.0943531	0.312671	
0.785575	0.00778361	0.0943699	0.312626	
0.791438	0.00774646	0.0943553	0.312539	
0.797337	0.00775552	0.0943553	0.312374	
0.803275	0.00774862	0.0943628	0.312272	
0.809263	0.00775555	0.0943491	0.312185	
0.815287	0.00772967	0.0943599	0.312019	
0.82135	0.00776851	0.0943935	0.311938	
0.827462	0.00778865	0.0943561	0.31184	
0.833613	0.007811	0.0944167	0.311761	
0.839813	0.00780915	0.0943826	0.311586	
0.84605	0.00781071	0.0943767	0.311526	
0.852325	0.00779914	0.0943741	0.311392	
0.85865	0.00782291	0.0943478	0.311283	
0.865025	0.00784958	0.0943765	0.311119	
0.871437	0.00786097	0.0943993	0.311027	
0.877887	0.00780754	0.0943755	0.310922	
0.884387	0.00783627	0.0943906	0.310785	
0.890938	0.00785847	0.0943808	0.310735	
0.897525	0.00785501	0.0943835	0.310595	
0.904163	0.007882	0.0943193	0.310403	
0.91085	0.00790299	0.0943093	0.310338	
0.917575	0.00788822	0.0943687	0.310221	
0.92435	0.00790989	0.0943375	0.310123	
0.931175	0.0079231	0.0943466	0.309984	
0.93805	0.00790246	0.094319	0.309869	
0.944963	0.00788836	0.094339	0.309736	
0.951937	0.00788796	0.0943728	0.309622	
0.95895	0.00788759	0.0943705	0.309521	
0.966012	0.00791076	0.0943937	0.309348	
0.973125	0.00790544	0.0944057	0.309291	
